Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
The City Is Mine (feat. Blackstreet),JAY-Z,"JAY-Z, Leon Huff, Glenn Frey, Jack Tempchin, Teddy Riley & Kenneth Gamble","In My Lifetime, Vol. 1",,,,,,Hip-Hop/Rap,8607041,242,1,1,2,14,1997,"5/7/19, 12:22 AM","5/7/19, 12:22 AM",256,44100,,Apple Music AAC audio file,,,25,"5/20/21, 9:28 AM",,,,
Lost in the Fire,Gesaffelstein & The Weeknd,"Mike Levy, Abel Tesfaye, Nate Donmoyer, Ahmad Balshe & Jason 'Daheala' Quenneville",Hyperion,,,,,,Electronic,7292829,202,1,1,3,10,2019,"5/15/19, 4:27 PM","5/15/19, 4:27 PM",256,44100,,Apple Music AAC audio file,,,36,"5/20/21, 9:32 AM",,"10/23/20, 4:49 PM",,
Sweet but Psycho,Ava Max,"Amanda Ava Koci, Andreas Andersen Haukeland, Henry Walter, Madison Love & William Lobban Bean",Heaven & Hell,,,,,,Pop,7016917,187,1,1,16,16,2018,"5/15/19, 5:23 PM","5/15/19, 5:23 PM",256,44100,,Apple Music AAC audio file,,,32,"5/20/21, 9:35 AM",,,,
Chandelier,Sia,Sia Furler & Jesse shatkin,1000 Forms of Fear,,,,,,Pop,,216,1,1,1,12,2014,"8/4/14, 4:34 AM","8/2/14, 2:40 AM",256,44100,,Purchased AAC audio file,,,37,"5/20/21, 9:39 AM",,,,
I'm Going Down (iTunes Session),Vampire Weekend,Bruce Springsteen,iTunes Session - EP,,,,,,Alternative,,184,1,1,2,6,2010,"3/19/14, 12:17 PM","3/19/14, 1:24 AM",256,44100,,Purchased AAC audio file,,,50,"5/20/21, 9:56 AM",3,"10/31/18, 8:09 AM",,
You Found Me,The Fray,"Isaac Slade, Joe King, Dave Welsh & Ben Wysocki",The Fray,,,,,,Rock,8691038,241,1,1,3,10,2008,"1/5/17, 11:17 AM","1/5/17, 11:17 AM",256,44100,,Apple Music AAC audio file,,,66,"12/20/21, 7:45 AM",5,"6/29/17, 6:16 AM",,
Just One Yesterday (feat. Foxes),Fall Out Boy,"Fall Out Boy, Patrick Stump, Pete Wentz, Joe Trohman & Andy Hurley",Save Rock and Roll,,,,,,Alternative,,244,1,1,5,11,2013,"3/12/15, 2:21 PM","3/12/15, 2:21 PM",256,44100,,Purchased AAC audio file,,,31,"5/20/21, 9:50 AM",,,,
Pittsburgh Makes Me Drunk,Ceann,,"Rave, Rant, Lose Pants",,,,,,Rock,,170,1,1,14,15,2007,"12/4/13, 7:34 PM","12/4/13, 7:34 PM",256,44100,,Purchased AAC audio file,,,34,"5/20/21, 9:53 AM",2,,,
I'm Going Down (iTunes Session),Vampire Weekend,Bruce Springsteen,iTunes Session - EP,,,,,,Alternative,,184,1,1,2,6,2010,"3/19/14, 12:17 PM","3/19/14, 1:24 AM",256,44100,,Purchased AAC audio file,,,50,"5/20/21, 9:56 AM",3,"10/31/18, 8:09 AM",,
In My Mind,Dynoro & Gigi D'Agostino,"Georgina Kingsley, Ivan Gough, Aden Forte, Joshua Soon, Luigino Di Agostino, Carlo Montagner & Paolo Sandrini",In My Mind - Single,,,,,,Dance,6628704,184,1,1,1,1,2017,"5/20/19, 1:44 PM","5/20/19, 1:44 PM",256,44100,,Apple Music AAC audio file,,,13,"5/20/21, 9:59 AM",,,,
You Found Me,The Fray,"Isaac Slade, Joe King, Dave Welsh & Ben Wysocki",The Fray,,,,,,Rock,8691038,241,1,1,3,10,2008,"1/5/17, 11:17 AM","1/5/17, 11:17 AM",256,44100,,Apple Music AAC audio file,,,66,"12/20/21, 7:45 AM",5,"6/29/17, 6:16 AM",,
La Grange,ZZ Top,,Tres Hombres,,,,,,Rock,,232,1,1,8,10,1973,"8/27/16, 9:20 AM","8/27/16, 9:20 AM",256,44100,,Purchased AAC audio file,,,15,"5/20/21, 10:07 AM",1,"9/29/17, 8:43 AM",,
Day 'n' Nite,Kid Cudi,O. Omishore & Scott Mescudi,Man On the Moon: The End of Day,,,,,,Hip-Hop/Rap,7838959,221,1,1,7,15,2008,"5/24/19, 11:13 PM","5/24/19, 11:13 PM",256,44100,,Apple Music AAC audio file,,,30,"1/4/22, 1:17 PM",1,"3/20/21, 5:25 PM",,
Cola,CamelPhat & Elderbrook,"Alexander Kotz, David Whelan & Mike Di Scala",Cola - Single,,,,,,Dance,8272592,223,1,1,1,2,2017,"5/25/19, 12:32 AM","5/25/19, 12:32 AM",256,44100,,Apple Music AAC audio file,,,18,"5/20/21, 10:14 AM",,,,
Bad Liar,Imagine Dragons,"Jorgen Odegard, Wayne Sermon, Dan Reynolds, Ben McKee, Daniel Platzman & Aja Volkman",Origins (Deluxe),,,,,,Alternative,9223165,260,1,1,5,15,2018,"5/25/19, 12:48 AM","5/25/19, 12:48 AM",256,44100,,Apple Music AAC audio file,,,15,"5/20/21, 10:18 AM",2,"6/4/19, 3:28 AM",,
Purple Emoji (feat. J. Cole),Ty Dolla $ign,"Ty Dolla $ign, J. Cole, Joel Kibble, Hallerin Hill & Maxwell Bidstrup",Purple Emoji (feat. J. Cole) - Single,,,,,,R&B/Soul,5905381,163,1,1,1,1,2019,"5/26/19, 4:43 PM","5/26/19, 4:43 PM",256,44100,,Apple Music AAC audio file,,,26,"5/20/21, 10:21 AM",1,"6/4/19, 3:28 AM",,
Run Wild Run Free,Zacari,Zacari Pacaldo,Run Wild Run Free - EP,,,,,,R&B/Soul,6323214,175,1,1,7,7,2019,"5/26/19, 5:03 PM","5/26/19, 5:03 PM",256,44100,,Apple Music AAC audio file,,,40,"5/20/21, 10:24 AM",,,,
Lucid Dreams,Juice WRLD,"Juice WRLD, Nick Mira, Dominic Miller, Sting & Danny Snodgrass Jr.",Lucid Dreams - Single,,,,,,Hip-Hop/Rap,8482809,239,1,1,1,1,2017,"6/3/19, 10:23 PM","6/3/19, 10:23 PM",256,44100,,Apple Music AAC audio file,,,31,"5/20/21, 10:28 AM",,,,
Satisfaction (Isak Original),Benny Benassi & The Biz,,Satisfaction - Single,,,,,,Dance,14014492,399,1,1,2,11,2010,"6/7/19, 1:30 PM","6/7/19, 1:30 PM",256,44100,,Apple Music AAC audio file,,,13,"5/20/21, 10:35 AM",1,"6/22/19, 10:31 PM",,
World Hold On,Steve Edwards & Bob Sinclar,"Christophe Le Friant, Michael Tordjman & Stephen Neil Edwards",Made In Jamaiça,,,,,,Dance,9698379,278,1,1,3,13,2010,"6/7/19, 1:39 PM","6/7/19, 1:39 PM",256,44100,,Apple Music AAC audio file,,,10,"5/20/21, 10:39 AM",2,"8/5/19, 3:57 PM",,
Mambo No. 5 (A Little Bit Of...),Lou Bega,"Lou Bega, Dámaso Pérez Prado & Zippy",Mambo No. 5 (A Little Bit Of...) - EP,,,,,,Pop,8555609,220,1,1,1,4,1999,"6/7/19, 1:56 PM","6/7/19, 1:56 PM",256,44100,,Apple Music AAC audio file,,,34,"1/3/22, 8:06 AM",1,"10/13/20, 9:45 PM",,
Firestone,Am7,"Kyrre Gorvell Dahll, Martijn Konijnenburg & Conrad Sewell",Firestone - Single,,,,,,Dance,9787390,273,1,1,1,1,2015,"6/7/19, 2:02 PM","6/7/19, 2:02 PM",256,44100,,Apple Music AAC audio file,,,10,"5/20/21, 10:48 AM",,,,
Touch My Body (Seamus Haji & Paul Emanuel Club Mix),Mariah Carey,"Mariah Carey, Christopher Stewart, Terius Nash & Crystal Johnson",Touch My Body - EP,,,,,,Dance,20299683,586,1,1,5,10,2008,"6/8/19, 11:13 PM","6/8/19, 11:13 PM",256,44100,,Apple Music AAC audio file,,,6,"5/20/21, 10:57 AM",1,"8/5/19, 3:57 PM",,
Taki Taki (feat. Seba Bootleg),Jona Mix,Jona Mix,Taki Taki (feat. Seba Bootleg) - Single,,,,,,Urbano latino,5553025,150,1,1,1,1,2018,"6/8/19, 11:19 PM","6/8/19, 11:19 PM",256,44100,,Apple Music AAC audio file,,,5,"5/20/21, 11:00 AM",1,"11/27/20, 5:53 PM",,
Fireball (feat. John Ryan),Pitbull,"John Ryan, Armando C. Perez, Eric Frederic, Joe London & Andreas Schuller",Fireball (feat. John Ryan) - Single,,,,,,Pop,8584691,235,1,1,1,1,2014,"7/3/17, 7:41 PM","7/3/17, 7:41 PM",256,44100,,Apple Music AAC audio file,,,37,"6/4/21, 3:53 PM",3,"11/27/20, 5:53 PM",,
One Kiss,"Calvin Harris, Dua Lipa","Dua Lipa, Adam Wiles & Jessie Reyez",One Kiss - Single,,,,,,Dance,7649196,214,1,1,1,1,2018,"6/8/19, 11:26 PM","6/8/19, 11:26 PM",256,44100,,Apple Music AAC audio file,,,7,"5/20/21, 11:08 AM",1,"11/27/20, 5:54 PM",,
Stranger Looks,Dj Uro,,Stranger Looks - Single,,,,,,Electronic,14206213,413,1,1,1,1,2017,"6/8/19, 11:30 PM","6/8/19, 11:30 PM",256,44100,,AAC audio file,,,3,"6/30/19, 12:05 AM",1,"8/5/19, 3:58 PM",,
IDGAF,Dua Lipa,"Dua Lipa, Jason Dean, Joseph Kirkland, Larzz Principato, MNEK & Skyler Stonestreet",Dua Lipa (Deluxe),,,,,,Pop,7693676,217,1,1,5,16,2017,"6/8/19, 11:37 PM","6/8/19, 11:37 PM",256,44100,,Apple Music AAC audio file,,,7,"5/20/21, 11:11 AM",,"11/27/20, 5:54 PM",,
Bitch,Meredith Brooks,,Blurring the Edges,,,,,,Pop,6928384,252,,,2,,1997,"1/24/08, 2:43 PM","8/28/11, 5:35 AM",256,44100,,AAC audio file,,,7,"5/20/21, 11:15 AM",,"11/27/20, 6:03 PM",,
Dirty Laundry,Don Henley,"Danny ""Kootch"" Kortchmar/Don Henley",I Can't Stand Still,,,,,,Mainstream Rock,9191424,336,1,1,6,11,1982,"5/16/10, 11:57 PM","8/28/11, 5:31 AM",256,44100,,AAC audio file,,Cleaned by TuneUp!,9,"5/20/21, 11:21 AM",,"11/27/20, 5:54 PM",,
Save a Horse (Ride a Cowboy),Big & Rich,Big Kenny & John Rich,Horse of a Different Color,,,,,,Country,7347366,200,1,1,9,13,2003,"6/9/19, 12:04 AM","6/9/19, 12:04 AM",256,44100,,Apple Music AAC audio file,,,13,"5/20/21, 11:28 AM",,"11/27/20, 5:54 PM",,
Your Love (feat. The Outfield),Morgan Page,,Your Love (feat. The Outfield) - Single,,,,,,Dance,8798324,239,1,1,1,2,2013,"6/10/19, 2:50 PM","6/10/19, 2:50 PM",256,44100,,Apple Music AAC audio file,,,12,"5/20/21, 11:32 AM",1,"11/27/20, 5:54 PM",,
no tears left to cry,Ariana Grande,"Ariana Grande, Max Martin, Ilya Salmanzadeh & Savan Kotecha",Sweetener,,,,,,Pop,7365413,205,1,1,10,15,2018,"6/10/19, 4:34 PM","6/10/19, 4:34 PM",256,44100,,Apple Music AAC audio file,,,15,"5/20/21, 11:36 AM",,"11/27/20, 5:54 PM",,
The Closing Song,Red Peters,,"Red Peters Comedy Music Hour Best of, Vol. 1",,,,,,Comedy,7048468,193,1,1,19,19,1999,"6/21/19, 12:32 AM","6/21/19, 12:32 AM",256,44100,,Apple Music AAC audio file,,,13,"5/20/21, 11:39 AM",2,"12/29/19, 7:46 AM",,
A*****e,Denis Leary,Denis Leary & Chris Phillips,No Cure for Cancer,,,,,,Comedy,9468665,266,1,1,1,10,1993,"6/21/19, 12:38 AM","6/21/19, 12:38 AM",256,44100,,Apple Music AAC audio file,,,9,"5/20/21, 11:43 AM",,"11/27/20, 5:58 PM",,
Blow Me (You Hardly Even Know Me),Red Peters,Red Peters,I Laughed I Cried I Fudged My Undies,,,,,,Comedy,4911185,122,1,1,2,18,1995,"6/21/19, 12:42 AM","6/21/19, 12:42 AM",256,44100,,Apple Music AAC audio file,,,10,"5/20/21, 11:45 AM",,,,
Filthy,Justin Timberlake,"Justin Timberlake, Timothy Mosley, Nate Hills, James Fauntleroy & Larrance Dopson",Man of the Woods,,,,,,Pop,10910413,293,1,1,1,16,2018,"6/10/19, 4:42 PM","6/10/19, 4:42 PM",256,44100,,Apple Music AAC audio file,,,14,"5/20/21, 11:50 AM",1,"11/27/20, 5:59 PM",,
"Stayin' Alive (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,"Maurice Gibb, Robin Gibb & Barry Gibb",Saturday Night Fever (The Original Movie Soundtrack),,,,,,Pop,11392047,284,1,1,1,21,1977,"6/15/19, 3:30 PM","6/15/19, 3:30 PM",256,44100,,Apple Music AAC audio file,,,21,"6/7/21, 1:32 AM",,,,
Pardon Me,Incubus,"Brandon Boyd, Michael Einziger, Alex Katunich, José Pasillas II & Chris Kilmore",Make Yourself,,,,,,Alternative,8094509,223,1,1,12,13,1999,"6/19/19, 12:24 AM","6/19/19, 12:24 AM",256,44100,,Apple Music AAC audio file,,,16,"9/19/21, 9:47 AM",,,,
See You Again (feat. Charlie Puth),Wiz Khalifa,"Andrew Cedar, Cameron Thomaz, Charlie Puth, Dann Hume, Joshua Karl Simon Hardy & Phoebe Cockburn",Furious 7 (Original Motion Picture Soundtrack) [Deluxe Version],,,,,,Hip-Hop/Rap,8138574,229,1,1,7,22,2015,"6/20/19, 6:26 PM","6/20/19, 6:26 PM",256,44100,,Apple Music AAC audio file,,,36,"7/22/21, 8:43 AM",1,"5/20/21, 12:47 PM",,
All of Me,John Legend,John Stephens & Toby Gad,Love in the Future (Expanded Edition),,,,,,R&B/Soul,9460299,269,1,1,6,20,2013,"6/27/19, 12:23 AM","6/27/19, 12:23 AM",256,44100,,Apple Music AAC audio file,,,31,"5/20/21, 12:12 PM",1,"8/19/19, 3:07 AM",,
Safe and Sound,Capital Cities,Ryan Merchant & Sebu Simonian,In a Tidal Wave of Mystery (Deluxe Edition),,,,,,Alternative,6982848,192,1,1,1,16,2011,"8/3/19, 4:50 AM","8/3/19, 4:50 AM",256,44100,,Apple Music AAC audio file,,,26,"5/20/21, 12:15 PM",,,,
1984,Inteus,Nathan Koniszewski,1984 - Single,,,,,,Hip-Hop/Rap,7811416,213,1,1,1,1,2019,"8/11/19, 10:33 PM","8/11/19, 10:33 PM",256,44100,,Apple Music AAC audio file,,,24,"5/20/21, 12:18 PM",1,"8/31/19, 10:14 PM",,
In Too Deep,Superior.,Ramon Eduardo Villamediana,In Too Deep - Single,,,,,,Hip-Hop/Rap,7033780,200,1,1,1,1,2019,"8/11/19, 10:30 PM","8/11/19, 10:30 PM",256,44100,,Apple Music AAC audio file,,,31,"5/20/21, 12:22 PM",,,,
Old Number Seven,The Devil Makes Three,,The Devil Makes Three,,,,,,Singer/Songwriter,7108670,200,1,1,6,14,2002,"9/4/18, 8:51 PM","9/4/18, 8:51 PM",256,44100,,Apple Music AAC audio file,,,61,"5/20/21, 12:29 PM",2,"1/3/19, 9:34 PM",,
Desperado,Rihanna,"Krystin""""Rook Monroe""""Watkins"", Mick Schultz, Robyn Rihanna Fenty, James Fauntleroy & D. Rachel",ANTI (Deluxe),,,,,,Pop,6747810,186,1,1,5,16,2016,"6/27/19, 12:09 AM","6/27/19, 12:09 AM",256,44100,,Apple Music AAC audio file,,,69,"5/20/21, 12:32 PM",,,,
Señorita,Shawn Mendes & Camila Cabello,"Shawn Mendes, Camila Cabello, Andrew Wotman, Benjamin Levin, Ali Tamposi, Charlotte Emma Aitchison, Jack Patterson & Magnus August Hoiberg",Señorita - Single,,,,,,Pop,6840011,190,1,1,1,1,2019,"8/3/19, 4:52 AM","8/3/19, 4:52 AM",256,44100,,Apple Music AAC audio file,,,49,"7/21/21, 11:11 AM",,,,
Renegades of Funk,Rage Against the Machine,"Afrika Bambaataa, Arthur Baker, John Robie & John Miller",Renegades,,,,,,Hard Rock,9543269,274,1,1,4,12,2000,"8/20/19, 9:16 PM","8/20/19, 9:16 PM",256,44100,,Apple Music AAC audio file,,,27,"7/23/21, 9:11 AM",,,,
Mudshovel,Staind,"Aaron Lewis, Johnny April, Jon Wysocki & Mike Mushok",Dysfunction,,,,,,Hard Rock,10559202,282,1,1,5,10,1999,"8/20/19, 9:19 PM","8/20/19, 9:19 PM",256,44100,,Apple Music AAC audio file,,,21,"9/19/21, 8:35 AM",,,,
Phonk (feat. No Money),SQBI,Green Pickollo,Blaq Flaq,,,,,,Hip-Hop/Rap,9538436,272,1,1,7,9,2019,"8/11/19, 10:44 PM","8/11/19, 10:44 PM",256,44100,,Apple Music AAC audio file,,,18,"7/21/21, 11:25 AM",,,,
I Don't Wanna Use Your Love Tonight,DJ K.O.,Frank Earullo,"Fist Pump, Vol. 7",,,,,,Pop,2533056,60,1,1,4,28,2013,"8/26/19, 5:49 PM","8/26/19, 5:49 PM",256,44100,,Apple Music AAC audio file,,,24,"7/22/21, 8:31 AM",2,"9/12/19, 12:22 PM",,
Sex with Me (MK Remix),Rihanna,"Matthew Samuels, Adam Feeney, Robyn Rihanna Fenty, C. John ""Jack"" Hansen, Jahron Anthony Brathwaite & ANDERSON HERNANDEZ",Sex with Me (Dance Remixes) - EP,,,,,,Dance,13048675,378,1,1,1,5,2017,"8/26/19, 3:07 PM","8/26/19, 3:07 PM",256,44100,,Apple Music AAC audio file,,,16,"7/21/21, 11:32 AM",2,"5/20/21, 12:47 PM",,
Radioactive (Grouplove & Captain Cuts Remix),Imagine Dragons,"Dan Reynolds, Wayne Sermon, Ben McKee, Alex Da Kid & Josh Mosser",Radioactive (Grouplove & Captain Cuts Remix) - Single,,,,,,Alternative,8653893,241,1,1,1,1,2013,"8/26/19, 3:24 PM","8/26/19, 3:24 PM",256,44100,,Apple Music AAC audio file,,,20,"7/22/21, 8:39 AM",,,,
See You Again (feat. Charlie Puth),Wiz Khalifa,"Andrew Cedar, Cameron Thomaz, Charlie Puth, Dann Hume, Joshua Karl Simon Hardy & Phoebe Cockburn",Furious 7 (Original Motion Picture Soundtrack) [Deluxe Version],,,,,,Hip-Hop/Rap,8138574,229,1,1,7,22,2015,"6/20/19, 6:26 PM","6/20/19, 6:26 PM",256,44100,,Apple Music AAC audio file,,,36,"7/22/21, 8:43 AM",1,"5/20/21, 12:47 PM",,
See You Again,Elle King,Elle King & Francis White,Love Stuff,,,,,,Alternative,,206,1,1,12,12,2015,"11/14/15, 10:00 AM","11/14/15, 4:00 PM",256,44100,,Purchased AAC audio file,,,36,"7/22/21, 8:46 AM",1,"9/12/19, 12:22 PM",,
Walking (feat. Swae Lee & Major Lazer),"88rising, Joji & Jackson Wang","Boaz de Jong, George Miller, Gregory Hein, Jackson Wang, Khalif Malik Ibn Shaman Brown, Maximilian Jaeger, Montana Wayne Best, Robin P. Francesco & Thomas Pentz",Head in the Clouds II,,,,,,Pop,6027849,167,1,1,5,16,2019,"10/22/19, 11:36 AM","10/22/19, 11:36 AM",256,44100,,Apple Music AAC audio file,,,21,"7/22/21, 11:56 AM",,"12/7/20, 12:17 PM",,
Earned It (Fifty Shades of Grey),The Weeknd,"Abel Tesfaye, Stephan Moccio, Jason 'Daheala' Quenneville & Ahmad Balshe",Beauty Behind the Madness,,,,,,R&B/Soul,,277,1,1,9,14,2015,"10/23/15, 3:16 PM","10/23/15, 3:16 PM",256,44100,,Purchased AAC audio file,,,92,"7/22/21, 12:01 PM",,,,
Bad Things,Machine Gun Kelly & Camila Cabello,"Camila Cabello, Colson Baker pka ""MGK"" for EST, M. LOVE, Tony Scalzo, Alex Schwartz, Joseph Khajadourian & Steve Basil",bloom,,,,,,Hip-Hop/Rap,8443115,239,1,1,10,15,2016,"8/28/19, 7:43 PM","8/28/19, 7:43 PM",256,44100,,Apple Music AAC audio file,,,108,"7/22/21, 12:05 PM",,,,
Sex,Cheat Codes & Kris Kross Amsterdam,"Hurby Azor, T. Dahl, S. Huisman, J. Huisman, BEARCLVW, K. Pederson, R. Elifritz & M. Elifritz",Sex - Single,,,,,,Dance,8060590,228,1,1,1,1,2016,"9/24/19, 7:41 PM","9/24/19, 7:41 PM",256,44100,,Apple Music AAC audio file,,,64,"1/3/22, 7:44 AM",4,"12/29/21, 2:40 PM",,
In the Air Tonight,In This Moment,Phil Collins,Ritual,,,,,,Metal,10330352,297,1,1,4,12,2017,"6/8/19, 11:54 PM","6/8/19, 11:54 PM",256,44100,,Apple Music AAC audio file,,,11,"12/27/20, 5:27 AM",,,,
Just Us (feat. SZA),DJ Khaled,"Khaled Khaled, Solana Rowe, Denisia Blujune Andrews, Brittany ""@Chi_Coney"" Coney, André Benjamin, Antwan Patton & David Sheats",Father of Asahd,,,,,,Hip-Hop/Rap,7832693,221,1,1,4,15,2019,"8/2/19, 7:17 PM","8/2/19, 7:17 PM",256,44100,,Apple Music AAC audio file,,,120,"5/20/21, 1:20 PM",,"11/27/20, 8:01 PM",,
Eastside,"benny blanco, Halsey & Khalid","benny blanco, Nathan Perez, Khalid Robinson, Ashley Frangipane & Ed Sheeran",FRIENDS KEEP SECRETS,,,,,,Pop,6229814,170,1,1,1,7,2018,"9/19/19, 7:59 AM","9/19/19, 7:59 AM",256,44100,,Apple Music AAC audio file,,,97,"1/3/22, 9:30 PM",,"1/19/21, 2:55 PM",,
Drive (feat. Delilah Montagu) [Edit],Black Coffee & David Guetta,"David Guetta, Illsey Juber, Nkosinathi Maphumulo, Phillip Fender, Ralph Wegner, Mikkel S. Eriksen & Tor Erik Hermansen",Drive (feat. Delilah Montagu) - Single,,,,,,Dance,6876292,191,1,1,1,2,2018,"9/19/19, 8:01 AM","9/19/19, 8:01 AM",256,44100,,Apple Music AAC audio file,,,75,"5/20/21, 1:26 PM",,,,
Diamonds,Rihanna,"Sia Furler, Benjamin Levine, Mikkel S. Eriksen & Tor Erik Hermansen",Diamonds - Single,,,,,,Pop,7939251,225,1,1,1,1,2012,"10/23/19, 12:16 AM","10/23/19, 12:16 AM",256,44100,,Apple Music AAC audio file,,,18,"5/20/21, 1:30 PM",,,,
I Miss You,blink-182,"Mark Hoppus, Tom DeLonge & Travis Barker",Blink-182 (Bonus Track Version),,,,,,Rock,8783313,227,1,1,3,16,2003,"9/24/19, 9:10 PM","9/24/19, 9:10 PM",256,44100,,Apple Music AAC audio file,,,61,"7/23/21, 8:38 AM",1,"11/9/19, 12:37 AM",,
Green Light (Chromeo Remix),Lorde,"Ella Yelich-O'connor, Jack Antonoff & Joel Little",Green Light (Chromeo Remix) - Single,,,,,,Alternative,8916690,247,1,1,1,1,2017,"8/26/19, 3:20 PM","8/26/19, 3:20 PM",256,44100,,Apple Music AAC audio file,,,52,"5/20/21, 1:38 PM",,"11/27/20, 8:01 PM",,
Him & I,G-Eazy & Halsey,"Gerald Gillum, Alexander Schwartz, Joe Khajadourian & Ashley Frangipane",The Beautiful & Damned,,,,,,Hip-Hop/Rap,9364903,268,1,1,3,20,2017,"4/6/18, 11:42 PM","4/6/18, 11:42 PM",256,44100,,Apple Music AAC audio file,,,34,"5/20/21, 1:42 PM",1,"11/27/20, 8:01 PM",,
Drive (feat. Delilah Montagu),Black Coffee & David Guetta,"David Guetta, Ralph Wegner, Phillip Fender, Mikkel S. Eriksen, Illsey Juber, Nkosinathi Maphumulo & Tor Erik Hermansen",Drive (feat. Delilah Montagu) - Single,,,,,,Dance,10123394,283,1,1,2,2,2018,"9/19/19, 8:01 AM","9/19/19, 8:01 AM",256,44100,,Apple Music AAC audio file,,,31,"5/20/21, 1:47 PM",,,,
bad guy,Billie Eilish,FINNEAS & Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",,,,,,Alternative,7155654,194,1,1,2,14,2019,"6/3/19, 9:06 PM","6/3/19, 9:06 PM",256,44100,,Apple Music AAC audio file,,,61,"5/20/21, 1:50 PM",,,,
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,"Carter Lang, Khalif Malik Ibin Shaman Brown, Louis Russel Bell, Austin Richard Post, William Walsh & Carl Rosen",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),,,,,,Hip-Hop/Rap,5797498,158,1,1,2,13,2018,"3/24/19, 2:14 AM","3/24/19, 2:14 AM",256,44100,,Apple Music AAC audio file,,,72,"5/20/21, 1:53 PM",,,,
Better Now,Post Malone,"Louis Bell, Austin Post, Billy Walsh & Adam Feeney",beerbongs & bentleys,,,,,,Hip-Hop/Rap,8205629,231,1,1,9,18,2018,"5/31/19, 8:59 PM","5/31/19, 8:59 PM",256,44100,,Apple Music AAC audio file,,,72,"5/20/21, 1:57 PM",,,,
Hustler Musik,Lil Wayne,D. Carter & T-Mix,Tha Carter II,,,,,,Hip-Hop/Rap,10635094,303,1,1,14,22,2005,"10/23/19, 12:47 AM","10/23/19, 12:47 AM",256,44100,,Apple Music AAC audio file,,,34,"5/20/21, 2:02 PM",,,,
Cool Girl,Tove Lo,"Tove Lo, Ludvig Söderberg & Jakob Jerlström",Lady Wood,,,,,,Alternative,7193121,199,1,1,5,12,2016,"9/24/19, 7:39 PM","9/24/19, 7:39 PM",256,44100,,Apple Music AAC audio file,,,77,"5/20/21, 2:48 PM",,"11/27/20, 8:00 PM",,
Sex,Cheat Codes & Kris Kross Amsterdam,"Hurby Azor, T. Dahl, S. Huisman, J. Huisman, BEARCLVW, K. Pederson, R. Elifritz & M. Elifritz",Sex - Single,,,,,,Dance,8060590,228,1,1,1,1,2016,"9/24/19, 7:41 PM","9/24/19, 7:41 PM",256,44100,,Apple Music AAC audio file,,,64,"1/3/22, 7:44 AM",4,"12/29/21, 2:40 PM",,
Broken,lovelytheband,Christian Medice & Mitchell Collins,Everything I Could Never Say... - EP,,,,,,Alternative,7447943,204,1,1,1,6,2017,"9/24/19, 9:12 PM","9/24/19, 9:12 PM",256,44100,,Apple Music AAC audio file,,,85,"7/22/21, 1:57 PM",2,"7/22/21, 1:54 PM",,
Fast Car,Jasmine Thompson,"Jasmine Thompson, Jeremy Dussolliet & Timothy Sommers",Fast Car - Single,,,,,,Pop,7712174,218,1,1,1,1,2016,"4/14/19, 10:19 PM","4/14/19, 10:19 PM",256,44100,,Apple Music AAC audio file,,,77,"5/20/21, 2:16 PM",1,"10/23/19, 10:32 PM",,
I Miss You,blink-182,"Mark Hoppus, Tom DeLonge & Travis Barker",Blink-182 (Bonus Track Version),,,,,,Rock,8783313,227,1,1,3,16,2003,"9/24/19, 9:10 PM","9/24/19, 9:10 PM",256,44100,,Apple Music AAC audio file,,,61,"7/23/21, 8:38 AM",1,"11/9/19, 12:37 AM",,
Sucker,Jonas Brothers,"Frank Dukes, Ryan Tedder, Louis Bell, Joe Jonas, Nick Jonas & Kevin Jonas",Happiness Begins,,,,,,Pop,6489483,181,1,1,1,14,2019,"9/6/19, 8:48 PM","9/6/19, 8:48 PM",256,44100,,Apple Music AAC audio file,,,30,"5/20/21, 2:23 PM",1,"11/9/19, 12:37 AM",,
Fuego,Alok & Bhaskar,A. Petrillo & R. Amarante,Fuego - Single,,,,,,Dance,7012939,188,1,1,1,1,2017,"10/24/19, 12:00 AM","10/24/19, 12:00 AM",256,44100,,Apple Music AAC audio file,,,25,"5/20/21, 2:26 PM",,"11/27/20, 8:00 PM",,
Girls Have Fun (feat. G-Eazy & Rich The Kid),Tyga,"William Grigahcine, Michael Stevenson, Dimitri Roger & Gerald Gillum",Girls Have Fun (feat. G-Eazy & Rich The Kid) - Single,,,,,,Hip-Hop/Rap,6383923,175,1,1,1,1,2019,"10/24/19, 12:18 AM","10/24/19, 12:18 AM",256,44100,,Apple Music AAC audio file,,,19,"5/20/21, 2:29 PM",,,,
